Epoch,train_sat_kb,test_sat_kb,train_accuracy,test_accuracy,test_sat_phi1,test_sat_phi2,test_sat_phi3
368,0.9168,0.9146,0.9875,0.9750,0.8496,0.1528,0.2836
369,0.9169,0.9146,0.9875,0.9750,0.8496,0.1527,0.2835
370,0.9170,0.9146,0.9875,0.9750,0.8497,0.1526,0.2834
371,0.9171,0.9146,0.9875,0.9750,0.8497,0.1525,0.2832
372,0.9172,0.9146,0.9875,0.9750,0.8497,0.1524,0.2831
373,0.9172,0.9147,0.9875,0.9750,0.8498,0.1524,0.2830
374,0.9173,0.9147,0.9875,0.9750,0.8498,0.1523,0.2829
375,0.9174,0.9147,0.9875,0.9750,0.8498,0.1522,0.2827
376,0.9175,0.9147,0.9875,0.9750,0.8499,0.1521,0.2826
377,0.9176,0.9148,0.9875,0.9750,0.8499,0.1520,0.2825
378,0.9177,0.9148,0.9875,0.9750,0.8499,0.1519,0.2823
379,0.9178,0.9148,0.9875,0.9750,0.8500,0.1518,0.2822
380,0.9178,0.9148,0.9875,0.9750,0.8500,0.1517,0.2821
381,0.9179,0.9148,0.9875,0.9750,0.8500,0.1516,0.2820
382,0.9180,0.9149,0.9875,0.9750,0.8501,0.1515,0.2818
383,0.9181,0.9149,0.9875,0.9750,0.8501,0.1514,0.2817
384,0.9182,0.9149,0.9875,0.9750,0.8502,0.1513,0.2816
385,0.9183,0.9149,0.9875,0.9750,0.8502,0.1512,0.2815
386,0.9183,0.9149,0.9875,0.9750,0.8502,0.1511,0.2814
387,0.9184,0.9149,0.9875,0.9750,0.8503,0.1511,0.2812
388,0.9185,0.9150,0.9875,0.9750,0.8503,0.1510,0.2811
389,0.9186,0.9150,0.9875,0.9750,0.8503,0.1509,0.2810
390,0.9187,0.9150,0.9875,0.9750,0.8504,0.1508,0.2809
391,0.9187,0.9150,0.9875,0.9750,0.8504,0.1507,0.2808
392,0.9188,0.9150,0.9875,0.9750,0.8504,0.1506,0.2807
393,0.9189,0.9151,0.9875,0.9750,0.8505,0.1505,0.2805
394,0.9190,0.9151,0.9875,0.9750,0.8505,0.1505,0.2804
395,0.9191,0.9151,0.9875,0.9750,0.8505,0.1504,0.2803
396,0.9191,0.9151,0.9875,0.9750,0.8506,0.1503,0.2802
397,0.9192,0.9151,0.9875,0.9750,0.8506,0.1502,0.2801
398,0.9193,0.9151,0.9875,0.9750,0.8506,0.1501,0.2800
399,0.9194,0.9152,0.9875,0.9750,0.8507,0.1500,0.2799
400,0.9195,0.9152,0.9875,0.9750,0.8507,0.1500,0.2797
401,0.9195,0.9152,0.9875,0.9750,0.8507,0.1499,0.2796
402,0.9196,0.9152,0.9875,0.9750,0.8508,0.1498,0.2795
403,0.9197,0.9152,0.9875,0.9750,0.8508,0.1497,0.2794
404,0.9198,0.9152,0.9875,0.9750,0.8509,0.1497,0.2793
405,0.9198,0.9153,0.9875,0.9750,0.8509,0.1496,0.2792
406,0.9199,0.9153,0.9875,0.9750,0.8509,0.1495,0.2791
407,0.9200,0.9153,0.9875,0.9750,0.8510,0.1494,0.2790
408,0.9201,0.9153,0.9875,0.9750,0.8510,0.1494,0.2789
409,0.9202,0.9153,0.9875,0.9750,0.8510,0.1493,0.2788
410,0.9202,0.9153,0.9875,0.9750,0.8511,0.1492,0.2787
411,0.9203,0.9153,0.9875,0.9750,0.8511,0.1492,0.2786
412,0.9204,0.9153,0.9875,0.9750,0.8511,0.1491,0.2785
413,0.9205,0.9154,0.9875,0.9750,0.8512,0.1490,0.2784
414,0.9205,0.9154,0.9875,0.9750,0.8512,0.1489,0.2783
415,0.9206,0.9154,0.9875,0.9750,0.8513,0.1489,0.2782
416,0.9207,0.9154,0.9875,0.9750,0.8513,0.1488,0.2781
417,0.9208,0.9154,0.9875,0.9750,0.8514,0.1487,0.2781
418,0.9208,0.9154,0.9875,0.9750,0.8514,0.1487,0.2780
419,0.9209,0.9154,0.9875,0.9750,0.8515,0.1486,0.2779
420,0.9210,0.9154,0.9875,0.9750,0.8516,0.1485,0.2778
421,0.9211,0.9154,0.9875,0.9750,0.8517,0.1484,0.2777
422,0.9211,0.9154,0.9875,0.9750,0.8518,0.1484,0.2776
423,0.9212,0.9154,0.9875,0.9750,0.8519,0.1483,0.2775
424,0.9213,0.9154,0.9875,0.9750,0.8520,0.1482,0.2774
425,0.9214,0.9155,0.9875,0.9750,0.8520,0.1482,0.2773
426,0.9214,0.9155,0.9875,0.9750,0.8521,0.1481,0.2772
427,0.9215,0.9155,0.9875,0.9750,0.8522,0.1480,0.2771
428,0.9216,0.9155,0.9875,0.9750,0.8523,0.1480,0.2770
429,0.9217,0.9155,0.9875,0.9750,0.8524,0.1479,0.2769
430,0.9217,0.9155,0.9875,0.9750,0.8525,0.1478,0.2768
431,0.9218,0.9155,0.9875,0.9750,0.8526,0.1478,0.2768
432,0.9219,0.9155,0.9875,0.9750,0.8527,0.1477,0.2767
433,0.9219,0.9155,0.9875,0.9750,0.8528,0.1476,0.2766
434,0.9220,0.9155,0.9875,0.9750,0.8529,0.1476,0.2765
435,0.9221,0.9155,0.9875,0.9750,0.8530,0.1475,0.2764
436,0.9222,0.9155,0.9875,0.9750,0.8531,0.1474,0.2763
437,0.9222,0.9155,0.9875,0.9750,0.8532,0.1474,0.2762
438,0.9223,0.9155,0.9875,0.9750,0.8533,0.1473,0.2761
439,0.9224,0.9155,0.9875,0.9750,0.8533,0.1472,0.2761
440,0.9225,0.9155,0.9875,0.9750,0.8534,0.1472,0.2760
441,0.9225,0.9156,0.9875,0.9750,0.8535,0.1471,0.2759
442,0.9226,0.9156,0.9875,0.9750,0.8536,0.1470,0.2758
443,0.9227,0.9156,0.9875,0.9750,0.8537,0.1470,0.2757
444,0.9227,0.9156,0.9875,0.9750,0.8538,0.1469,0.2756
445,0.9228,0.9156,0.9875,0.9750,0.8539,0.1469,0.2755
446,0.9229,0.9156,0.9891,0.9750,0.8540,0.1468,0.2755
447,0.9230,0.9156,0.9891,0.9750,0.8541,0.1467,0.2754
448,0.9230,0.9156,0.9891,0.9750,0.8542,0.1467,0.2753
449,0.9231,0.9156,0.9891,0.9750,0.8543,0.1466,0.2752
450,0.9232,0.9156,0.9891,0.9750,0.8544,0.1466,0.2751
451,0.9232,0.9156,0.9891,0.9750,0.8545,0.1465,0.2751
452,0.9233,0.9156,0.9891,0.9750,0.8546,0.1464,0.2750
453,0.9234,0.9156,0.9891,0.9750,0.8547,0.1464,0.2749
454,0.9234,0.9156,0.9891,0.9750,0.8548,0.1463,0.2748
455,0.9235,0.9156,0.9891,0.9750,0.8549,0.1463,0.2748
456,0.9236,0.9156,0.9891,0.9750,0.8550,0.1462,0.2747
457,0.9237,0.9156,0.9891,0.9750,0.8551,0.1462,0.2746
458,0.9237,0.9156,0.9891,0.9750,0.8552,0.1461,0.2745
459,0.9238,0.9156,0.9891,0.9750,0.8553,0.1460,0.2744
460,0.9239,0.9156,0.9891,0.9750,0.8553,0.1460,0.2744
461,0.9239,0.9156,0.9891,0.9750,0.8554,0.1459,0.2743
462,0.9240,0.9156,0.9891,0.9750,0.8555,0.1459,0.2742
463,0.9241,0.9156,0.9891,0.9750,0.8555,0.1458,0.2742
464,0.9241,0.9156,0.9891,0.9750,0.8556,0.1458,0.2741
465,0.9242,0.9156,0.9891,0.9750,0.8557,0.1457,0.2740
466,0.9243,0.9156,0.9891,0.9750,0.8557,0.1457,0.2740
467,0.9243,0.9156,0.9891,0.9750,0.8558,0.1456,0.2739
468,0.9244,0.9156,0.9891,0.9750,0.8559,0.1456,0.2738
469,0.9245,0.9156,0.9891,0.9750,0.8559,0.1455,0.2738
470,0.9245,0.9156,0.9891,0.9750,0.8560,0.1455,0.2737
471,0.9246,0.9156,0.9891,0.9750,0.8561,0.1454,0.2737
472,0.9247,0.9156,0.9891,0.9750,0.8561,0.1454,0.2736
473,0.9248,0.9156,0.9891,0.9750,0.8562,0.1453,0.2735
474,0.9248,0.9157,0.9891,0.9750,0.8562,0.1453,0.2735
475,0.9249,0.9157,0.9891,0.9750,0.8563,0.1452,0.2734
476,0.9250,0.9157,0.9891,0.9750,0.8563,0.1452,0.2734
477,0.9250,0.9157,0.9891,0.9750,0.8564,0.1451,0.2733
478,0.9251,0.9157,0.9891,0.9750,0.8564,0.1451,0.2732
479,0.9252,0.9157,0.9891,0.9750,0.8565,0.1450,0.2732
480,0.9252,0.9157,0.9891,0.9750,0.8565,0.1450,0.2731
481,0.9253,0.9157,0.9891,0.9750,0.8566,0.1449,0.2730
482,0.9254,0.9157,0.9891,0.9750,0.8566,0.1449,0.2730
483,0.9254,0.9157,0.9891,0.9750,0.8566,0.1448,0.2729
484,0.9255,0.9157,0.9891,0.9750,0.8567,0.1448,0.2728
485,0.9256,0.9157,0.9891,0.9750,0.8567,0.1447,0.2728
486,0.9256,0.9157,0.9891,0.9750,0.8567,0.1447,0.2727
487,0.9257,0.9157,0.9891,0.9750,0.8568,0.1446,0.2726
488,0.9258,0.9157,0.9891,0.9750,0.8568,0.1446,0.2726
489,0.9258,0.9157,0.9891,0.9750,0.8569,0.1446,0.2725
490,0.9259,0.9157,0.9891,0.9750,0.8569,0.1445,0.2725
491,0.9260,0.9158,0.9891,0.9750,0.8570,0.1445,0.2724
492,0.9260,0.9158,0.9891,0.9750,0.8571,0.1444,0.2723
493,0.9261,0.9158,0.9891,0.9750,0.8571,0.1444,0.2723
494,0.9262,0.9158,0.9891,0.9750,0.8572,0.1443,0.2722
495,0.9262,0.9158,0.9891,0.9750,0.8573,0.1443,0.2721
496,0.9263,0.9158,0.9891,0.9750,0.8574,0.1443,0.2721
497,0.9264,0.9158,0.9891,0.9750,0.8574,0.1442,0.2720
498,0.9264,0.9158,0.9891,0.9750,0.8575,0.1442,0.2720
499,0.9265,0.9158,0.9891,0.9750,0.8576,0.1441,0.2719
