Epoch,train_sat,test_sat,train_accuracy,test_accuracy
144,0.5099,0.5015,0.6000,0.5000
145,0.5100,0.5017,0.6000,0.5000
146,0.5102,0.5019,0.6000,0.5000
147,0.5103,0.5020,0.6000,0.5000
148,0.5104,0.5022,0.6000,0.5000
149,0.5105,0.5024,0.6000,0.5000
150,0.5106,0.5026,0.6000,0.5000
151,0.5107,0.5028,0.6000,0.5000
152,0.5108,0.5030,0.6000,0.5000
153,0.5110,0.5032,0.6000,0.5000
154,0.5111,0.5034,0.6000,0.5000
155,0.5112,0.5036,0.6000,0.5000
156,0.5113,0.5038,0.6000,0.5000
157,0.5114,0.5040,0.6000,0.5000
158,0.5116,0.5043,0.6000,0.5000
159,0.5117,0.5045,0.6000,0.5000
160,0.5118,0.5047,0.6000,0.5000
161,0.5120,0.5049,0.6000,0.5000
162,0.5121,0.5051,0.6000,0.5000
163,0.5122,0.5054,0.6000,0.5000
164,0.5124,0.5056,0.6000,0.5000
165,0.5125,0.5058,0.6000,0.5000
166,0.5126,0.5061,0.6000,0.5000
167,0.5128,0.5063,0.6000,0.5000
168,0.5129,0.5065,0.6000,0.5000
169,0.5131,0.5068,0.6000,0.5000
170,0.5132,0.5070,0.6000,0.5000
171,0.5134,0.5073,0.6000,0.5000
172,0.5135,0.5075,0.6000,0.5000
173,0.5137,0.5078,0.6000,0.5000
174,0.5138,0.5081,0.6000,0.5000
175,0.5140,0.5083,0.6000,0.5000
176,0.5142,0.5086,0.6000,0.5000
177,0.5143,0.5089,0.6000,0.5000
178,0.5145,0.5091,0.6000,0.5000
179,0.5146,0.5094,0.6000,0.4800
180,0.5148,0.5097,0.6000,0.4800
181,0.5150,0.5100,0.6000,0.4800
182,0.5152,0.5103,0.6000,0.4800
183,0.5153,0.5106,0.6000,0.4800
184,0.5155,0.5109,0.6000,0.4800
185,0.5157,0.5112,0.6000,0.4800
186,0.5159,0.5115,0.6000,0.4800
187,0.5161,0.5118,0.6000,0.4800
188,0.5163,0.5121,0.6000,0.4800
189,0.5164,0.5124,0.6000,0.4800
190,0.5166,0.5128,0.6000,0.4800
191,0.5168,0.5131,0.6000,0.4800
192,0.5170,0.5134,0.6000,0.4800
193,0.5172,0.5138,0.6000,0.4800
194,0.5174,0.5141,0.6000,0.4800
195,0.5177,0.5144,0.6000,0.4800
196,0.5179,0.5148,0.6000,0.4800
197,0.5181,0.5152,0.6000,0.4800
198,0.5183,0.5155,0.6000,0.4800
199,0.5185,0.5159,0.6000,0.4800
200,0.5188,0.5163,0.6000,0.5000
201,0.5190,0.5166,0.6000,0.5000
202,0.5192,0.5170,0.6000,0.5000
203,0.5194,0.5174,0.6000,0.5000
204,0.5197,0.5178,0.6000,0.5000
205,0.5199,0.5182,0.6000,0.5000
206,0.5202,0.5186,0.6000,0.5000
207,0.5204,0.5190,0.6000,0.5000
208,0.5207,0.5194,0.6000,0.5000
209,0.5209,0.5199,0.6000,0.5000
210,0.5212,0.5203,0.6000,0.5000
211,0.5215,0.5207,0.6000,0.5000
212,0.5217,0.5212,0.6000,0.5000
213,0.5220,0.5216,0.6000,0.5000
214,0.5223,0.5221,0.6000,0.5000
215,0.5225,0.5225,0.6000,0.4800
216,0.5228,0.5230,0.6000,0.4800
217,0.5231,0.5235,0.6000,0.4800
218,0.5234,0.5239,0.6000,0.4800
219,0.5237,0.5244,0.6000,0.4800
220,0.5240,0.5249,0.6000,0.4800
221,0.5243,0.5254,0.6000,0.4800
222,0.5246,0.5259,0.6200,0.4800
223,0.5249,0.5264,0.6200,0.4800
224,0.5253,0.5270,0.6200,0.4800
225,0.5256,0.5275,0.6200,0.4800
226,0.5259,0.5280,0.6200,0.4800
227,0.5262,0.5286,0.6200,0.4800
228,0.5266,0.5291,0.6200,0.4800
229,0.5269,0.5297,0.6200,0.4800
230,0.5273,0.5302,0.6200,0.4800
231,0.5276,0.5308,0.6200,0.4800
232,0.5280,0.5314,0.6200,0.4800
233,0.5283,0.5319,0.6200,0.4800
234,0.5287,0.5325,0.6200,0.4800
235,0.5291,0.5331,0.6200,0.4800
236,0.5294,0.5337,0.6200,0.4800
237,0.5298,0.5343,0.6200,0.4800
238,0.5302,0.5349,0.6200,0.4800
239,0.5306,0.5356,0.6200,0.4800
240,0.5310,0.5362,0.6200,0.4800
241,0.5314,0.5368,0.6200,0.4800
242,0.5318,0.5375,0.6200,0.4800
243,0.5322,0.5381,0.6200,0.5000
244,0.5326,0.5388,0.6200,0.5000
245,0.5330,0.5394,0.6200,0.5000
246,0.5335,0.5401,0.6200,0.5000
247,0.5339,0.5408,0.6200,0.5200
248,0.5343,0.5414,0.6600,0.5200
249,0.5348,0.5421,0.6600,0.5400
250,0.5352,0.5428,0.6800,0.5400
251,0.5357,0.5435,0.6800,0.5400
252,0.5361,0.5442,0.6800,0.5400
253,0.5366,0.5450,0.6800,0.5600
254,0.5370,0.5457,0.6800,0.5600
255,0.5375,0.5464,0.6800,0.5600
256,0.5380,0.5471,0.6800,0.5600
257,0.5385,0.5479,0.6800,0.5600
258,0.5389,0.5486,0.6800,0.5600
259,0.5394,0.5494,0.6800,0.5600
260,0.5399,0.5502,0.6800,0.5800
261,0.5404,0.5509,0.6800,0.5800
262,0.5409,0.5517,0.6800,0.6000
263,0.5415,0.5525,0.6800,0.6000
264,0.5420,0.5533,0.6800,0.6000
265,0.5425,0.5541,0.6800,0.6000
266,0.5430,0.5549,0.6800,0.6200
267,0.5436,0.5557,0.6800,0.6200
268,0.5441,0.5565,0.6800,0.6200
269,0.5447,0.5573,0.6800,0.6200
270,0.5452,0.5581,0.6800,0.6200
271,0.5458,0.5589,0.6800,0.6200
272,0.5463,0.5597,0.6800,0.6200
273,0.5469,0.5606,0.6800,0.6200
274,0.5475,0.5614,0.6800,0.6200
275,0.5481,0.5622,0.6800,0.6200
276,0.5487,0.5631,0.7000,0.6400
277,0.5493,0.5639,0.7000,0.6400
278,0.5499,0.5647,0.7000,0.6400
279,0.5505,0.5656,0.7000,0.6400
280,0.5511,0.5664,0.7000,0.6600
281,0.5517,0.5673,0.7000,0.6600
282,0.5523,0.5681,0.7000,0.6600
283,0.5530,0.5690,0.7000,0.6600
284,0.5536,0.5698,0.7000,0.6600
285,0.5543,0.5707,0.7000,0.6800
286,0.5549,0.5715,0.6800,0.6800
287,0.5556,0.5724,0.6800,0.6800
288,0.5562,0.5732,0.6800,0.6800
289,0.5569,0.5741,0.6800,0.6800
290,0.5576,0.5750,0.7000,0.6800
291,0.5583,0.5758,0.7200,0.7000
292,0.5590,0.5767,0.7200,0.7000
293,0.5597,0.5775,0.7200,0.7000
294,0.5604,0.5784,0.7200,0.7000
295,0.5611,0.5792,0.7600,0.7000
296,0.5618,0.5801,0.7600,0.7000
297,0.5626,0.5809,0.7600,0.7000
298,0.5633,0.5818,0.7600,0.7000
299,0.5641,0.5826,0.7600,0.7000
300,0.5648,0.5835,0.7600,0.7000
301,0.5656,0.5843,0.7600,0.7000
302,0.5664,0.5852,0.7600,0.7000
303,0.5671,0.5860,0.7600,0.7000
304,0.5679,0.5868,0.7600,0.7000
305,0.5687,0.5877,0.7600,0.7000
306,0.5695,0.5885,0.7600,0.7000
307,0.5703,0.5893,0.7600,0.7000
308,0.5711,0.5901,0.7600,0.7000
