Epoch,train_loss,train_accuracy,test_loss,test_accuracy
0,1.0012,0.0492,0.9997,0.0169
1,0.9999,0.0303,1.0011,0.0437
2,0.9992,0.0522,0.9991,0.0556
3,1.0001,0.0549,0.9991,0.0694
4,0.9974,0.0176,0.9979,0.0060
5,0.9991,0.0060,0.9989,0.0069
6,0.9976,0.0176,0.9994,0.0050
7,1.0067,0.0113,0.9992,0.0030
8,0.9963,0.0123,0.9973,0.0069
9,0.9964,0.0126,0.9988,0.0040
10,0.9965,0.0113,0.9984,0.0050
11,0.9963,0.0116,0.9986,0.0040
12,0.9976,0.0073,0.9956,0.0119
13,1.0052,0.0116,0.9915,0.0268
14,0.9977,0.0113,0.9960,0.0149
15,0.9959,0.0100,0.9946,0.0149
16,0.9974,0.0110,0.9987,0.0030
17,0.9964,0.0093,0.9983,0.0050
18,0.9958,0.0106,0.9979,0.0050
19,0.9957,0.0110,0.9980,0.0050
