Epoch,train_sat_kb,test_sat_kb,train_accuracy,test_accuracy,test_sat_phi1,test_sat_phi2,test_sat_phi3
84,0.7379,0.7456,0.9250,0.9500,0.6513,0.3425,0.5040
85,0.7413,0.7490,0.9266,0.9500,0.6549,0.3401,0.5012
86,0.7446,0.7526,0.9266,0.9500,0.6583,0.3375,0.4972
87,0.7479,0.7558,0.9297,0.9500,0.6627,0.3342,0.4949
88,0.7511,0.7592,0.9344,0.9563,0.6665,0.3308,0.4913
89,0.7544,0.7625,0.9375,0.9563,0.6694,0.3287,0.4886
90,0.7577,0.7658,0.9375,0.9563,0.6731,0.3254,0.4851
91,0.7608,0.7689,0.9406,0.9563,0.6762,0.3227,0.4822
92,0.7640,0.7721,0.9453,0.9563,0.6795,0.3196,0.4786
93,0.7671,0.7753,0.9469,0.9563,0.6826,0.3166,0.4757
94,0.7701,0.7784,0.9469,0.9625,0.6848,0.3142,0.4720
95,0.7731,0.7813,0.9484,0.9625,0.6870,0.3117,0.4685
96,0.7760,0.7843,0.9516,0.9625,0.6900,0.3085,0.4653
97,0.7788,0.7871,0.9500,0.9625,0.6924,0.3056,0.4619
98,0.7817,0.7900,0.9531,0.9625,0.6939,0.3033,0.4584
99,0.7844,0.7928,0.9531,0.9625,0.6958,0.3006,0.4548
100,0.7871,0.7955,0.9547,0.9625,0.6973,0.2982,0.4519
101,0.7897,0.7981,0.9563,0.9625,0.6987,0.2957,0.4482
102,0.7923,0.8006,0.9563,0.9625,0.7001,0.2932,0.4452
103,0.7948,0.8033,0.9594,0.9688,0.7016,0.2905,0.4421
104,0.7974,0.8056,0.9594,0.9688,0.7025,0.2882,0.4392
105,0.7998,0.8081,0.9609,0.9688,0.7035,0.2857,0.4360
106,0.8021,0.8105,0.9609,0.9688,0.7042,0.2835,0.4332
107,0.8044,0.8128,0.9625,0.9688,0.7050,0.2811,0.4300
108,0.8066,0.8150,0.9609,0.9688,0.7055,0.2789,0.4269
109,0.8088,0.8172,0.9594,0.9625,0.7064,0.2764,0.4239
110,0.8110,0.8195,0.9609,0.9625,0.7071,0.2740,0.4208
111,0.8131,0.8216,0.9594,0.9688,0.7068,0.2724,0.4176
112,0.8153,0.8239,0.9609,0.9688,0.7071,0.2704,0.4143
113,0.8174,0.8262,0.9625,0.9688,0.7076,0.2682,0.4110
114,0.8193,0.8283,0.9625,0.9750,0.7076,0.2663,0.4077
115,0.8212,0.8302,0.9641,0.9750,0.7076,0.2642,0.4045
116,0.8230,0.8324,0.9641,0.9750,0.7080,0.2618,0.4015
117,0.8248,0.8343,0.9641,0.9750,0.7085,0.2592,0.3989
118,0.8266,0.8362,0.9641,0.9688,0.7089,0.2566,0.3962
119,0.8283,0.8380,0.9641,0.9750,0.7093,0.2544,0.3937
120,0.8299,0.8398,0.9672,0.9750,0.7114,0.2518,0.3912
121,0.8316,0.8416,0.9672,0.9750,0.7140,0.2492,0.3889
122,0.8332,0.8438,0.9672,0.9812,0.7179,0.2460,0.3862
123,0.8348,0.8464,0.9672,0.9812,0.7214,0.2396,0.3817
124,0.8364,0.8493,0.9672,0.9750,0.7235,0.2321,0.3774
125,0.8382,0.8519,0.9672,0.9750,0.7300,0.2279,0.3746
126,0.8400,0.8548,0.9672,0.9750,0.7356,0.2219,0.3710
127,0.8418,0.8571,0.9688,0.9750,0.7389,0.2142,0.3665
128,0.8438,0.8585,0.9688,0.9750,0.7456,0.2143,0.3650
129,0.8453,0.8599,0.9734,0.9750,0.7457,0.2131,0.3637
130,0.8466,0.8612,0.9734,0.9750,0.7425,0.2112,0.3621
131,0.8479,0.8623,0.9734,0.9750,0.7453,0.2132,0.3609
132,0.8491,0.8635,0.9734,0.9750,0.7417,0.2112,0.3584
133,0.8504,0.8646,0.9719,0.9750,0.7431,0.2100,0.3572
134,0.8515,0.8659,0.9719,0.9812,0.7461,0.2084,0.3559
135,0.8526,0.8669,0.9719,0.9812,0.7457,0.2056,0.3546
136,0.8537,0.8679,0.9719,0.9812,0.7484,0.2052,0.3532
137,0.8547,0.8687,0.9734,0.9812,0.7466,0.2035,0.3516
138,0.8557,0.8696,0.9734,0.9812,0.7471,0.2032,0.3504
139,0.8566,0.8704,0.9734,0.9812,0.7466,0.2023,0.3492
140,0.8575,0.8713,0.9734,0.9812,0.7462,0.2013,0.3481
141,0.8585,0.8721,0.9734,0.9812,0.7469,0.2008,0.3472
142,0.8593,0.8729,0.9734,0.9750,0.7463,0.1994,0.3460
143,0.8602,0.8737,0.9734,0.9750,0.7474,0.1989,0.3451
144,0.8609,0.8747,0.9734,0.9750,0.7468,0.1977,0.3438
145,0.8618,0.8754,0.9734,0.9750,0.7478,0.1971,0.3429
146,0.8625,0.8762,0.9734,0.9750,0.7476,0.1959,0.3417
147,0.8632,0.8768,0.9734,0.9750,0.7481,0.1951,0.3409
148,0.8640,0.8776,0.9734,0.9750,0.7483,0.1943,0.3398
149,0.8646,0.8782,0.9734,0.9750,0.7485,0.1936,0.3390
150,0.8653,0.8791,0.9734,0.9750,0.7486,0.1929,0.3379
